airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-05-24,Kolkata,Banglore,10:00:00,05:25:00,1165,2,no info,15107
Air India,2019-03-27,Delhi,Cochin,19:45:00,19:15:00,1410,2,no info,8656
Multiple Carriers,2019-06-24,Delhi,Cochin,09:15:00,19:15:00,600,1,no info,8099
Multiple Carriers,2019-03-27,Delhi,Cochin,04:00:00,13:20:00,560,1,no info,6305
Indigo,2019-06-15,Delhi,Cochin,05:05:00,12:10:00,425,1,no info,6818
Indigo,2019-06-24,Banglore,Delhi,10:10:00,13:00:00,170,0,no info,3943
Multiple Carriers,2019-06-09,Delhi,Cochin,08:30:00,19:00:00,630,1,no info,11622
Jet Airways,2019-05-09,Banglore,Delhi,15:15:00,18:10:00,175,0,in-flight meal not included,4544
Indigo,2019-04-24,Banglore,Delhi,23:30:00,02:20:00,170,0,no info,3943
Indigo,2019-06-24,Delhi,Cochin,11:55:00,22:30:00,635,1,no info,6442
Jet Airways,2019-06-24,Banglore,Delhi,15:15:00,18:10:00,175,0,in-flight meal not included,5769
Indigo,2019-05-15,Kolkata,Banglore,07:10:00,12:40:00,330,1,no info,4864
Jet Airways,2019-06-15,Delhi,Cochin,10:00:00,19:00:00,540,1,in-flight meal not included,10262
Vistara,2019-06-09,Kolkata,Banglore,20:20:00,20:20:00,1440,1,no info,8085
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,16:20:00,1285,1,no info,14231
Air India,2019-05-09,Kolkata,Banglore,09:25:00,13:45:00,1700,2,no info,11542
Indigo,2019-03-12,Kolkata,Banglore,20:25:00,23:05:00,160,0,no info,4148
Jet Airways,2019-03-21,Delhi,Cochin,08:00:00,18:50:00,650,1,no info,12767
Jet Airways,2019-04-18,Banglore,Delhi,07:10:00,10:10:00,180,0,no info,7229
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,08:15:00,1430,1,in-flight meal not included,8586
Spicejet,2019-06-03,Kolkata,Banglore,22:20:00,00:40:00,140,0,no check-in baggage included,3841
Vistara,2019-05-12,Kolkata,Banglore,20:20:00,20:20:00,1440,1,no info,8610
Indigo,2019-05-18,Chennai,Kolkata,15:40:00,18:25:00,165,0,no info,3850
Indigo,2019-03-09,Delhi,Cochin,04:55:00,16:10:00,675,1,no info,6171
Indigo,2019-06-24,Kolkata,Banglore,21:25:00,00:05:00,160,0,no info,4804
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,20:45:00,400,1,in-flight meal not included,10844
Air India,2019-03-27,Delhi,Cochin,05:10:00,08:00:00,170,0,no info,4729
Jet Airways,2019-04-12,Banglore,Delhi,18:55:00,22:00:00,185,0,no info,7229
Spicejet,2019-05-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,no check-in baggage included,1965
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,14:25:00,1080,1,no info,12692
Jet Airways,2019-06-06,Delhi,Cochin,19:15:00,04:25:00,550,1,no info,14714
Indigo,2019-06-06,Chennai,Kolkata,19:35:00,21:55:00,140,0,no info,3597
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,19:50:00,685,1,in-flight meal not included,8586
Indigo,2019-04-21,Kolkata,Banglore,15:30:00,18:05:00,155,0,no info,4804
Jet Airways,2019-03-06,Banglore,Delhi,07:00:00,12:25:00,325,1,no info,22270
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,20:45:00,1695,1,in-flight meal not included,9663
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,04:40:00,1330,1,in-flight meal not included,9663
Air India,2019-03-01,Banglore,Delhi,06:45:00,11:10:00,1705,2,no info,20999
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,21:20:00,695,2,no info,10444
Jet Airways,2019-04-24,Banglore,Delhi,19:50:00,22:50:00,180,0,in-flight meal not included,4544
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,20:45:00,1550,1,no info,14571
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,09:20:00,800,1,no info,14781
Jet Airways,2019-05-12,Kolkata,Banglore,10:20:00,17:35:00,435,1,in-flight meal not included,7064
Multiple Carriers,2019-03-27,Delhi,Cochin,07:10:00,21:20:00,850,2,no info,6197
Spicejet,2019-03-01,Kolkata,Banglore,22:20:00,00:40:00,140,0,no info,5515
Jet Airways,2019-06-06,Delhi,Cochin,02:15:00,04:25:00,1570,1,in-flight meal not included,10262
Goair,2019-04-15,Delhi,Cochin,07:25:00,13:35:00,370,1,no info,5052
Spicejet,2019-05-12,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,no check-in baggage included,1965
Jet Airways,2019-05-01,Banglore,Delhi,15:15:00,18:10:00,175,0,no info,7229
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,09:20:00,800,1,in-flight meal not included,9663
Spicejet,2019-05-18,Chennai,Kolkata,08:20:00,10:35:00,135,0,no check-in baggage included,3543
Indigo,2019-05-27,Delhi,Cochin,11:55:00,22:30:00,635,1,no info,6442
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,20:45:00,400,1,in-flight meal not included,10844
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1,no info,13044
Spicejet,2019-06-12,Delhi,Cochin,08:45:00,13:15:00,270,1,no check-in baggage included,5158
Goair,2019-04-03,Banglore,Delhi,11:40:00,14:30:00,170,0,no info,3898
Multiple Carriers,2019-05-27,Delhi,Cochin,16:00:00,01:30:00,570,1,no info,13377
Indigo,2019-06-03,Delhi,Cochin,21:50:00,03:35:00,345,1,no info,7189
Jet Airways,2019-03-06,Banglore,Delhi,11:40:00,11:25:00,1425,1,no info,17261
Jet Airways,2019-06-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,no info,5678
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,04:25:00,865,1,no info,14714
Air India,2019-05-21,Kolkata,Banglore,12:00:00,07:55:00,1195,2,no info,10676
Jet Airways,2019-05-01,Banglore,Delhi,06:00:00,08:45:00,165,0,in-flight meal not included,4030
Multiple Carriers,2019-06-03,Delhi,Cochin,10:20:00,01:30:00,910,1,no info,6795
Spicejet,2019-03-09,Chennai,Kolkata,08:20:00,10:35:00,135,0,no info,6300
Air India,2019-06-09,Mumbai,Hyderabad,13:55:00,15:25:00,90,0,no info,3100
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,19:00:00,1210,1,no info,14714
Jet Airways,2019-03-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,no info,8040
Indigo,2019-05-27,Banglore,Delhi,21:15:00,00:15:00,180,0,no info,3943
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,09:45:00,1450,1,no info,14151
Indigo,2019-03-06,Delhi,Cochin,08:25:00,21:00:00,755,1,no info,14871
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,12:00:00,1315,1,in-flight meal not included,9663
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,19:45:00,1475,2,no info,19329
Indigo,2019-03-03,Delhi,Cochin,04:45:00,13:20:00,515,1,no info,14871
Spicejet,2019-03-15,Banglore,Delhi,15:35:00,23:40:00,485,1,no info,5822
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,04:25:00,1570,1,no info,12719
Indigo,2019-06-12,Delhi,Cochin,21:05:00,00:20:00,195,0,no info,6015
Jet Airways,2019-03-06,Banglore,Delhi,14:05:00,00:45:00,640,1,no info,14815
Air India,2019-06-09,Delhi,Cochin,20:00:00,07:40:00,700,1,no info,8372
Jet Airways,2019-05-27,Delhi,Cochin,19:15:00,19:00:00,1425,1,no info,16079
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,04:40:00,1215,1,no info,13731
Multiple Carriers,2019-06-01,Delhi,Cochin,17:50:00,01:30:00,460,2,no info,18485
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,20:45:00,740,1,in-flight meal not included,9899
Indigo,2019-05-21,Delhi,Cochin,23:30:00,04:35:00,305,1,no info,8745
Jet Airways,2019-05-06,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,no info,5678
Goair,2019-05-09,Kolkata,Banglore,16:40:00,00:15:00,455,1,no info,8777
Spicejet,2019-06-24,Delhi,Cochin,08:45:00,13:15:00,270,1,no info,4812
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,12:35:00,425,2,in-flight meal not included,15544
Indigo,2019-06-24,Banglore,Delhi,08:30:00,11:20:00,170,0,no info,4823
Spicejet,2019-06-18,Chennai,Kolkata,17:45:00,20:05:00,140,0,no info,3597
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,20:45:00,1485,1,in-flight meal not included,7064
Jet Airways,2019-03-01,Banglore,Delhi,16:55:00,07:40:00,885,1,1 long layover,26890
Jet Airways,2019-05-21,Delhi,Cochin,20:00:00,04:25:00,505,2,no info,16263
Indigo,2019-06-27,Delhi,Cochin,05:05:00,12:10:00,425,1,no info,6442
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,12:35:00,425,2,in-flight meal not included,13344
Jet Airways,2019-03-24,Banglore,Delhi,18:55:00,21:55:00,180,0,no info,7229
Air Asia,2019-06-06,Kolkata,Banglore,15:10:00,23:30:00,500,2,no info,6810
Jet Airways,2019-03-18,Banglore,Delhi,11:40:00,09:30:00,1310,1,in-flight meal not included,11087
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,20:20:00,1440,1,no info,9345
Jet Airways,2019-05-09,Delhi,Cochin,19:30:00,12:35:00,1025,2,no info,15129
Air India,2019-03-24,Kolkata,Banglore,16:45:00,23:15:00,1830,2,no info,13885
Indigo,2019-06-06,Delhi,Cochin,05:05:00,16:10:00,665,1,no info,6818
Spicejet,2019-05-06,Chennai,Kolkata,08:20:00,10:35:00,135,0,no check-in baggage included,3859
Indigo,2019-03-12,Chennai,Kolkata,07:55:00,10:15:00,140,0,no info,6297
Air India,2019-03-03,Delhi,Cochin,17:20:00,09:25:00,965,1,no info,16352
Jet Airways,2019-03-18,Banglore,Delhi,14:05:00,07:40:00,1055,1,in-flight meal not included,10972
Spicejet,2019-03-06,Delhi,Cochin,08:45:00,13:15:00,270,1,no info,8488
Goair,2019-06-15,Banglore,Delhi,07:45:00,10:40:00,175,0,no info,3898
Air India,2019-05-01,Chennai,Kolkata,11:40:00,13:55:00,135,0,no info,4667
Multiple Carriers,2019-06-06,Delhi,Cochin,07:00:00,19:00:00,720,1,no info,12192
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,21:00:00,835,1,no info,13062
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,04:25:00,1125,2,no info,15129
Multiple Carriers,2019-05-27,Delhi,Cochin,18:00:00,01:30:00,450,1,no info,7198
Indigo,2019-05-09,Kolkata,Banglore,07:10:00,12:40:00,330,1,no info,4864
Multiple Carriers,2019-05-18,Delhi,Cochin,07:00:00,21:00:00,840,1,no info,8073
Multiple Carriers,2019-04-24,Delhi,Cochin,07:10:00,16:10:00,540,1,in-flight meal not included,6093
Jet Airways,2019-03-06,Delhi,Cochin,05:25:00,19:45:00,2300,2,in-flight meal not included,16389
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,16:20:00,590,1,in-flight meal not included,10844
Jet Airways,2019-05-27,Delhi,Cochin,13:25:00,19:00:00,1775,2,no info,15129
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,23:25:00,1625,1,no info,8610
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,10:05:00,775,1,no info,14388
Indigo,2019-05-01,Chennai,Kolkata,19:35:00,21:55:00,140,0,no info,3597
Spicejet,2019-05-24,Chennai,Kolkata,08:20:00,10:35:00,135,0,no info,3597
Jet Airways,2019-06-15,Delhi,Cochin,19:15:00,12:35:00,1040,1,in-flight meal not included,10262
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,22:35:00,365,1,no info,14781
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,04:25:00,450,1,no info,16079
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,22:35:00,850,1,in-flight meal not included,10031
Air India,2019-03-21,Delhi,Cochin,12:30:00,09:25:00,1255,1,no info,6482
Air India,2019-03-27,Delhi,Cochin,05:00:00,19:15:00,2295,2,no info,8026
Jet Airways,2019-05-27,Delhi,Cochin,08:00:00,19:00:00,660,1,no info,16289
Jet Airways,2019-05-24,Banglore,Delhi,17:45:00,20:45:00,180,0,in-flight meal not included,6144
Spicejet,2019-05-03,Kolkata,Banglore,22:20:00,00:40:00,140,0,no info,3873
Jet Airways,2019-04-21,Banglore,Delhi,17:45:00,20:45:00,180,0,in-flight meal not included,4544
Multiple Carriers,2019-05-21,Delhi,Cochin,13:05:00,00:55:00,710,1,no info,9486
Air India,2019-03-15,Banglore,Delhi,08:50:00,23:15:00,865,1,no info,8714
Multiple Carriers,2019-05-24,Delhi,Cochin,07:30:00,19:00:00,690,1,no info,10529
Jet Airways,2019-06-01,Delhi,Cochin,09:00:00,12:35:00,1655,1,in-flight meal not included,10262
Vistara,2019-06-06,Kolkata,Banglore,07:10:00,10:45:00,1655,1,no info,9187
Indigo,2019-06-24,Banglore,Delhi,13:00:00,15:50:00,170,0,no info,3943
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1,no info,10953
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,22:05:00,1745,1,no info,14151
Indigo,2019-06-01,Delhi,Cochin,23:30:00,04:35:00,305,1,no info,10112
Air India,2019-05-12,Kolkata,Banglore,12:00:00,18:30:00,1830,2,no info,10676
Spicejet,2019-06-24,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,no check-in baggage included,1965
Indigo,2019-05-06,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,no info,2227
Jet Airways,2019-06-06,Delhi,Cochin,16:00:00,19:00:00,1620,1,no info,14714
Vistara,2019-06-09,Kolkata,Banglore,17:00:00,18:50:00,1550,1,no info,9135
Spicejet,2019-03-09,Banglore,Delhi,20:30:00,23:20:00,170,0,no info,5126
Indigo,2019-03-27,Kolkata,Banglore,21:25:00,00:05:00,160,0,no info,4148
Multiple Carriers,2019-06-01,Delhi,Cochin,07:05:00,19:15:00,730,1,in-flight meal not included,12927
Multiple Carriers,2019-05-09,Delhi,Cochin,10:00:00,21:00:00,660,1,no info,13727
Indigo,2019-04-21,Banglore,Delhi,04:00:00,06:50:00,170,0,no info,4423
Indigo,2019-03-24,Banglore,Delhi,22:20:00,01:10:00,170,0,no info,3897
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,22:05:00,1540,1,no info,13067
Multiple Carriers,2019-03-09,Delhi,Cochin,17:50:00,01:35:00,465,2,no info,23583
Jet Airways,2019-04-24,Banglore,Delhi,17:45:00,20:45:00,180,0,no info,7229
Air India,2019-03-01,Banglore,Delhi,17:00:00,23:10:00,370,1,no info,11628
Jet Airways,2019-03-09,Delhi,Cochin,21:50:00,18:50:00,1260,1,no info,15764
Air India,2019-03-27,Chennai,Kolkata,11:40:00,13:55:00,135,0,no info,3145
Jet Airways,2019-03-06,Banglore,Delhi,14:05:00,20:20:00,375,1,no info,19225
Air India,2019-05-27,Delhi,Cochin,18:00:00,19:15:00,1515,1,no info,8372
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,19:10:00,575,1,in-flight meal not included,9314
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,20:45:00,740,1,no info,14781
Vistara,2019-03-24,Kolkata,Banglore,17:00:00,22:55:00,355,1,no info,14360
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,18:50:00,1790,2,no info,13082
Spicejet,2019-06-27,Chennai,Kolkata,08:20:00,10:35:00,135,0,no check-in baggage included,3543
Indigo,2019-04-12,Banglore,Delhi,13:00:00,15:50:00,170,0,no info,4823
Air India,2019-04-03,Kolkata,Banglore,20:45:00,23:20:00,155,0,no info,4460
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,09:45:00,1005,1,no info,12121
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,01:30:00,930,1,no info,9508
Indigo,2019-03-06,Kolkata,Banglore,14:20:00,16:55:00,155,0,no info,5618
Air India,2019-03-12,Banglore,Delhi,08:50:00,23:15:00,865,1,no info,12127
Indigo,2019-05-12,Kolkata,Banglore,15:15:00,17:45:00,150,0,no info,4804
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,04:40:00,520,1,no info,14178
Indigo,2019-03-06,Delhi,Cochin,07:30:00,13:20:00,350,1,no info,13628
Air India,2019-06-06,Kolkata,Banglore,08:20:00,18:30:00,610,2,no info,10697
Jet Airways,2019-05-27,Delhi,Cochin,21:50:00,04:25:00,395,1,no info,16079
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,09:20:00,1010,1,in-flight meal not included,9663
Vistara,2019-06-24,Chennai,Kolkata,17:45:00,20:05:00,140,0,no info,11982
Indigo,2019-05-21,Kolkata,Banglore,14:25:00,16:55:00,150,0,no info,5224
Air India,2019-06-01,Delhi,Cochin,14:10:00,17:10:00,180,0,no info,6934
Indigo,2019-03-24,Chennai,Kolkata,05:15:00,07:35:00,140,0,no info,4326
Jet Airways,2019-05-18,Delhi,Cochin,22:50:00,12:35:00,825,1,in-flight meal not included,12373
Jet Airways,2019-03-03,Delhi,Cochin,19:15:00,04:25:00,550,1,no info,17234
Jet Airways,2019-06-21,Banglore,Delhi,18:55:00,22:00:00,185,0,no info,8541
Air Asia,2019-03-24,Kolkata,Banglore,15:25:00,22:55:00,450,2,no info,11245
Indigo,2019-04-03,Delhi,Cochin,02:00:00,07:25:00,325,1,no info,4744
Indigo,2019-06-01,Delhi,Cochin,16:10:00,22:30:00,380,1,no info,6938
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,19:10:00,1365,1,no info,14151
Air India,2019-03-24,Banglore,Delhi,17:00:00,19:45:00,165,0,no info,5176
Indigo,2019-03-06,Mumbai,Hyderabad,06:20:00,07:45:00,85,0,no info,4784
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,19:00:00,1395,1,no info,14714
Spicejet,2019-05-21,Chennai,Kolkata,17:45:00,20:05:00,140,0,no check-in baggage included,3543
Vistara,2019-06-09,Kolkata,Banglore,20:20:00,10:45:00,865,1,no info,9397
Air India,2019-04-15,Delhi,Cochin,05:10:00,08:00:00,170,0,no info,6094
Multiple Carriers,2019-05-09,Delhi,Cochin,09:00:00,19:00:00,600,1,no info,10197
Indigo,2019-05-09,Kolkata,Banglore,04:40:00,07:15:00,155,0,no info,4804
Jet Airways,2019-05-21,Banglore,Delhi,19:50:00,22:50:00,180,0,no info,7229
Air India,2019-06-21,Banglore,Delhi,17:00:00,19:45:00,165,0,no info,7171
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,18:50:00,800,2,no info,11702
Air India,2019-03-21,Delhi,Cochin,20:40:00,09:25:00,765,1,no info,5642
Jet Airways,2019-06-03,Delhi,Cochin,11:40:00,19:00:00,440,2,in-flight meal not included,15812
Indigo,2019-03-27,Mumbai,Hyderabad,21:20:00,22:45:00,85,0,no info,2227
Goair,2019-05-21,Delhi,Cochin,07:25:00,13:20:00,355,1,no info,5842
Vistara,2019-04-03,Banglore,Delhi,07:00:00,09:40:00,160,0,no info,5403
Air India,2019-05-01,Kolkata,Banglore,05:50:00,23:15:00,1045,2,no info,10991
Indigo,2019-04-06,Delhi,Cochin,02:00:00,07:25:00,325,1,no info,5046
Air India,2019-04-01,Kolkata,Banglore,09:25:00,10:30:00,1505,2,no info,12009
Jet Airways,2019-03-06,Banglore,Delhi,08:55:00,23:00:00,845,1,no info,16736
Indigo,2019-05-24,Kolkata,Banglore,19:20:00,23:45:00,265,1,no info,3809
Spicejet,2019-03-15,Chennai,Kolkata,09:30:00,12:05:00,155,0,no info,6300
Multiple Carriers,2019-05-15,Delhi,Cochin,11:30:00,01:30:00,840,1,no info,13727
Air India,2019-05-12,Kolkata,Banglore,14:35:00,14:35:00,1440,1,no info,6528
Indigo,2019-05-24,Mumbai,Hyderabad,12:00:00,13:30:00,90,0,no info,4392
Air India,2019-05-18,Delhi,Cochin,12:55:00,19:15:00,1820,2,no info,13696
Jet Airways,2019-06-24,Delhi,Cochin,19:30:00,12:35:00,1025,2,no info,13014
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,08:15:00,800,1,no info,13584
Jet Airways,2019-06-12,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,no info,8040
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,18:10:00,1260,1,in-flight meal not included,10031
Jet Airways,2019-06-06,Delhi,Cochin,17:30:00,04:25:00,655,1,in-flight meal not included,10262
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,22:40:00,1580,1,no info,8662
Multiple Carriers,2019-06-15,Delhi,Cochin,07:10:00,22:30:00,920,1,in-flight meal not included,6093
Indigo,2019-06-09,Delhi,Cochin,05:05:00,16:10:00,665,1,no info,6600
Indigo,2019-03-21,Banglore,Delhi,19:35:00,00:35:00,300,1,no info,6575
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,16:20:00,590,1,in-flight meal not included,9899
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,18:50:00,590,1,no info,11667
Spicejet,2019-04-24,Kolkata,Banglore,22:20:00,00:40:00,140,0,no check-in baggage included,3841
Jet Airways,2019-03-18,Banglore,Delhi,11:40:00,20:20:00,520,1,in-flight meal not included,11087
Spicejet,2019-05-21,Banglore,Delhi,21:10:00,00:05:00,175,0,no check-in baggage included,3573
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,21:00:00,560,1,no info,7485
Air India,2019-06-12,Kolkata,Banglore,05:50:00,13:15:00,445,2,no info,7662
Spicejet,2019-06-15,Kolkata,Banglore,22:20:00,00:40:00,140,0,no check-in baggage included,3841
Indigo,2019-03-27,Kolkata,Banglore,09:35:00,12:20:00,165,0,no info,4148
Goair,2019-06-06,Banglore,Delhi,07:45:00,10:40:00,175,0,no info,3898
Air India,2019-04-09,Delhi,Cochin,22:00:00,19:15:00,1275,2,no info,8341
Jet Airways,2019-05-21,Banglore,Delhi,07:10:00,10:10:00,180,0,no info,7229
Jet Airways,2019-06-06,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,no info,5678
Vistara,2019-04-12,Banglore,Delhi,11:30:00,14:20:00,170,0,no info,5403
Jet Airways,2019-05-15,Banglore,Delhi,07:10:00,10:10:00,180,0,in-flight meal not included,5198
Jet Airways,2019-03-18,Banglore,Delhi,21:25:00,09:00:00,695,1,no info,13555
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,21:00:00,560,1,no info,7215
Indigo,2019-03-21,Delhi,Cochin,07:30:00,15:30:00,480,1,no info,10208
Jet Airways,2019-03-24,Banglore,Delhi,08:55:00,09:00:00,1445,1,in-flight meal not included,8147
Air India,2019-06-24,Delhi,Cochin,16:40:00,19:15:00,1595,2,no info,9443
Multiple Carriers,2019-03-21,Delhi,Cochin,13:00:00,21:00:00,480,1,no info,13062
Indigo,2019-04-18,Banglore,Delhi,04:00:00,06:50:00,170,0,no info,4423
Air India,2019-03-09,Delhi,Cochin,17:45:00,23:00:00,315,1,no info,9064
Air India,2019-05-21,Kolkata,Banglore,09:50:00,23:15:00,805,3,no info,14960
Air India,2019-05-06,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,no info,3625
Air India,2019-05-09,Kolkata,Banglore,07:00:00,20:25:00,805,1,no info,10203
Jet Airways,2019-05-03,Banglore,Delhi,19:50:00,22:50:00,180,0,in-flight meal not included,6144
Multiple Carriers,2019-05-18,Delhi,Cochin,09:45:00,16:10:00,385,1,no info,9646
Jet Airways,2019-03-09,Delhi,Cochin,16:00:00,04:25:00,745,1,no info,16289
Air Asia,2019-05-27,Kolkata,Banglore,10:20:00,12:55:00,155,0,no info,4409
Air India,2019-06-12,Kolkata,Banglore,16:50:00,13:45:00,1255,2,no info,11542
Spicejet,2019-05-21,Kolkata,Banglore,15:05:00,20:20:00,315,1,no info,4649
Multiple Carriers,2019-03-27,Delhi,Cochin,06:40:00,19:15:00,755,1,no info,9100
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,08:10:00,795,1,no info,14231
Indigo,2019-03-03,Delhi,Cochin,11:30:00,21:00:00,570,1,no info,14871
Multiple Carriers,2019-06-15,Delhi,Cochin,08:00:00,21:00:00,780,1,no info,13587
Spicejet,2019-04-21,Kolkata,Banglore,17:10:00,19:40:00,150,0,no info,4911
Multiple Carriers,2019-03-27,Delhi,Cochin,11:40:00,21:00:00,560,1,no info,6637
Multiple Carriers,2019-06-09,Delhi,Cochin,17:00:00,01:30:00,510,1,no info,7408
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,14:25:00,1730,1,in-flight meal not included,9314
Air India,2019-05-18,Banglore,Delhi,17:00:00,19:45:00,165,0,no info,7171
Jet Airways,2019-05-12,Banglore,Delhi,17:45:00,20:45:00,180,0,in-flight meal not included,5198
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,10:05:00,1055,1,in-flight meal not included,8586
Multiple Carriers,2019-03-21,Delhi,Cochin,07:10:00,21:20:00,850,2,in-flight meal not included,5935
Indigo,2019-06-09,Kolkata,Banglore,08:10:00,13:00:00,290,1,no info,5069
Jet Airways,2019-03-18,Banglore,Delhi,14:05:00,21:20:00,435,1,no info,16946
Air India,2019-04-24,Delhi,Cochin,14:10:00,17:10:00,180,0,no info,6094
Air India,2019-05-09,Delhi,Cochin,06:10:00,23:00:00,1010,1,no info,7174
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,19:00:00,600,1,no info,14714
Jet Airways,2019-04-06,Banglore,Delhi,08:20:00,11:20:00,180,0,in-flight meal not included,4544
Jet Airways,2019-03-21,Delhi,Cochin,11:30:00,04:25:00,1015,1,in-flight meal not included,7438
Jet Airways,2019-06-03,Banglore,Delhi,07:10:00,10:10:00,180,0,in-flight meal not included,5769
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,21:00:00,640,1,in-flight meal not included,6007
Air India,2019-06-15,Delhi,Cochin,10:55:00,07:40:00,1245,2,no info,11753
Jet Airways,2019-06-27,Delhi,Cochin,08:00:00,19:00:00,660,1,in-flight meal not included,10262
Air India,2019-03-15,Banglore,Delhi,05:50:00,23:45:00,1075,2,no info,7664
Multiple Carriers,2019-03-06,Delhi,Cochin,06:40:00,18:50:00,730,1,no info,15135
Air India,2019-04-27,Banglore,Delhi,13:20:00,16:10:00,170,0,no info,5228
Air India,2019-06-01,Delhi,Cochin,17:40:00,23:00:00,320,1,no info,7384
Jet Airways,2019-03-06,Banglore,Delhi,11:40:00,08:15:00,1235,1,no info,16736
Spicejet,2019-05-18,Kolkata,Banglore,09:00:00,11:25:00,145,0,no info,4491
Indigo,2019-06-06,Delhi,Cochin,05:35:00,08:50:00,195,0,no info,5601
Multiple Carriers,2019-06-03,Delhi,Cochin,03:50:00,19:00:00,910,1,no info,12192
Jet Airways,2019-05-01,Banglore,Delhi,07:10:00,10:10:00,180,0,no info,7229
Jet Airways,2019-05-06,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,in-flight meal not included,2228
Air India,2019-06-12,Delhi,Cochin,10:55:00,07:40:00,1245,2,no info,11753
Multiple Carriers,2019-06-09,Delhi,Cochin,12:50:00,21:00:00,490,1,no info,7005
Jet Airways,2019-06-12,Delhi,Cochin,05:30:00,12:35:00,425,2,in-flight meal not included,13344
Air Asia,2019-05-15,Kolkata,Banglore,22:40:00,10:40:00,720,1,no info,5192
Jet Airways,2019-06-24,Delhi,Cochin,21:25:00,12:35:00,910,2,in-flight meal not included,10199
Air India,2019-06-27,Delhi,Cochin,05:55:00,19:15:00,800,2,no info,11386
